label_pair,layer,acc,f1,delta,n
trauma_vs_relaxed,14,1.0,1.0,0.125,960
trauma_vs_relaxed,15,1.0,1.0,0.125,960
trauma_vs_relaxed,16,1.0,1.0,0.125,960
trauma_vs_relaxed,17,1.0,1.0,0.125,960
trauma_vs_relaxed,18,1.0,1.0,0.125,960
trauma_vs_relaxed,19,1.0,1.0,0.125,960
trauma_vs_relaxed,20,1.0,1.0,0.125,960
trauma_vs_relaxed,21,1.0,1.0,0.125,960
trauma_vs_relaxed,22,1.0,1.0,0.125,960
trauma_vs_relaxed,23,1.0,1.0,0.125,960
trauma_vs_relaxed,24,1.0,1.0,0.125,960
trauma_vs_relaxed,25,1.0,1.0,0.125,960
trauma_vs_relaxed,26,1.0,1.0,0.125,960
trauma_vs_relaxed,27,1.0,1.0,0.125,960
trauma_vs_relaxed,28,1.0,1.0,0.125,960
trauma_vs_relaxed,29,1.0,1.0,0.125,960
trauma_vs_relaxed,30,0.9792,0.9882,0.1042,960
trauma_vs_relaxed,31,1.0,1.0,0.125,960
trauma_vs_relaxed,32,0.9792,0.9882,0.1042,960
trauma_vs_relaxed,33,0.9802,0.9888,0.1052,960
trauma_vs_relaxed,34,0.9938,0.9964,0.1188,960
trauma_vs_relaxed,35,0.9844,0.9912,0.1094,960
trauma_vs_relaxed,36,0.9906,0.9947,0.1156,960
trauma_vs_relaxed,37,0.9896,0.9941,0.1146,960
trauma_vs_relaxed,38,0.9906,0.9947,0.1156,960
trauma_vs_relaxed,39,0.9917,0.9953,0.1167,960
trauma_vs_relaxed,40,0.9844,0.9912,0.1094,960
trauma_vs_relaxed,41,0.9927,0.9959,0.1177,960
trauma_vs_relaxed,42,0.9958,0.9976,0.1208,960
trauma_vs_relaxed,43,0.9958,0.9976,0.1208,960
trauma_vs_relaxed,44,1.0,1.0,0.125,960
trauma_vs_relaxed,45,0.999,0.9994,0.124,960
trauma_vs_relaxed,46,1.0,1.0,0.125,960
trauma_vs_relaxed,47,1.0,1.0,0.125,960
trauma_vs_relaxed,48,1.0,1.0,0.125,960
trauma_vs_relaxed,49,1.0,1.0,0.125,960
trauma_vs_relaxed,50,1.0,1.0,0.125,960
trauma_vs_relaxed,51,0.9917,0.9953,0.1167,960
trauma_vs_relaxed,52,1.0,1.0,0.125,960
trauma_vs_relaxed,53,1.0,1.0,0.125,960
trauma_vs_relaxed,54,1.0,1.0,0.125,960
trauma_vs_relaxed,55,1.0,1.0,0.125,960
trauma_vs_relaxed,56,1.0,1.0,0.125,960
trauma_vs_relaxed,57,1.0,1.0,0.125,960
trauma_vs_relaxed,58,0.9979,0.9988,0.1229,960
trauma_vs_relaxed,59,0.9948,0.997,0.1198,960
trauma_vs_relaxed,60,1.0,1.0,0.125,960
trauma_vs_relaxed,61,0.9958,0.9976,0.1208,960
trauma_vs_relaxed,62,1.0,1.0,0.125,960
trauma_vs_relaxed,63,1.0,1.0,0.125,960
trauma_vs_relaxed,64,1.0,1.0,0.125,960
trauma_vs_relaxed,65,0.9979,0.9988,0.1229,960
trauma_vs_relaxed,66,0.999,0.9994,0.124,960
trauma_vs_relaxed,67,1.0,1.0,0.125,960
trauma_vs_relaxed,68,1.0,1.0,0.125,960
trauma_vs_relaxed,69,0.999,0.9994,0.124,960
trauma_vs_relaxed,70,1.0,1.0,0.125,960
trauma_vs_relaxed,71,0.9979,0.9988,0.1229,960
trauma_vs_relaxed,72,1.0,1.0,0.125,960
trauma_vs_relaxed,73,0.9958,0.9976,0.1208,960
trauma_vs_relaxed,74,0.999,0.9994,0.124,960
trauma_vs_relaxed,75,0.9969,0.9982,0.1219,960
trauma_vs_relaxed,76,0.9938,0.9964,0.1188,960
trauma_vs_relaxed,77,0.9938,0.9964,0.1188,960
trauma_vs_relaxed,78,0.9885,0.9935,0.1135,960
trauma_vs_relaxed,79,0.9979,0.9988,0.1229,960
baseline_vs_relaxed,0,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,1,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,2,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,3,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,4,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,5,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,6,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,7,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,8,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,9,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,10,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,11,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,12,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,13,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,14,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,15,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,16,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,17,1.0,1.0,0.125,960
baseline_vs_relaxed,18,1.0,1.0,0.125,960
baseline_vs_relaxed,19,1.0,1.0,0.125,960
baseline_vs_relaxed,20,1.0,1.0,0.125,960
baseline_vs_relaxed,21,1.0,1.0,0.125,960
baseline_vs_relaxed,22,1.0,1.0,0.125,960
baseline_vs_relaxed,23,1.0,1.0,0.125,960
baseline_vs_relaxed,24,1.0,1.0,0.125,960
baseline_vs_relaxed,25,1.0,1.0,0.125,960
baseline_vs_relaxed,26,1.0,1.0,0.125,960
baseline_vs_relaxed,27,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,28,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,29,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,30,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,31,1.0,1.0,0.125,960
baseline_vs_relaxed,32,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,33,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,34,1.0,1.0,0.125,960
baseline_vs_relaxed,35,0.9885,0.9934,0.1135,960
baseline_vs_relaxed,36,0.999,0.9994,0.124,960
baseline_vs_relaxed,37,0.9896,0.994,0.1146,960
baseline_vs_relaxed,38,0.999,0.9994,0.124,960
baseline_vs_relaxed,39,0.9906,0.9947,0.1156,960
baseline_vs_relaxed,40,0.9781,0.9876,0.1031,960
